date,code,name,close_price,total_score
20260514,000661,长春高新,85.29,15.62
20260515,000661,长春高新,85.12,12.62
20260518,000661,长春高新,82.62,7.63
20260519,000661,长春高新,83.38,11.62
20260520,000661,长春高新,81.07,8.63
20260521,000661,长春高新,80.6,7.94
20260522,000661,长春高新,79.0,9.14
20260525,000661,长春高新,79.76,17.84
20260512,000672,上峰水泥,17.18,54.31
20260513,000672,上峰水泥,17.22,58.3
20260514,000672,上峰水泥,16.79,60.4
20260515,000672,上峰水泥,17.17,55.31
20260518,000672,上峰水泥,18.9,54.97
20260519,000672,上峰水泥,18.15,58.11
20260520,000672,上峰水泥,18.59,56.63
20260521,000672,上峰水泥,18.09,52.12
20260522,000672,上峰水泥,18.64,51.72
20260525,000672,上峰水泥,18.11,45.72
20260512,000676,智度股份,7.34,22.47
